rnc-era-recO-pdxJ-acpS
NC_000913,Escherichia_coli_str._K-12_substr._MG1655,<acpS-pdxJ-recO-era-rnc>
NC_004741,Shigella_flexneri_2a_str._2457T,<acpS-pdxJ-recO-era-rnc>
NC_003198,Salmonella_enterica_subsp._enterica_serovar_Typhi_str._CT18,<acpS-pdxJ-recO-era-rnc>
NC_003197,Salmonella_enterica_subsp._enterica_serovar_Typhimurium_str._LT2,<acpS-pdxJ-recO-era-rnc>
NC_003143,Yersinia_pestis_CO92,rnc-era-recO <acpS-pdxJ>
NC_002663,Pasteurella_multocida_subsp._multocida_str._Pm70,<era-rnc> <recO>
NC_004459,Vibrio_vulnificus_CMCP6,rnc-era-recO-pdxJ-acpS
NC_004603,Vibrio_parahaemolyticus_RIMD_2210633,<acpS-pdxJ-recO-era-rnc>
NC_011833,Buchnera_aphidicola_str._5A_(Acyrthosiphon_pisum),<acpS-era-rnc>
NC_000907,Haemophilus_influenzae_Rd_KW20,<era-rnc> recO
NC_004347,Shewanella_oneidensis_MR-1,rnc-era-recO-pdxJ-acpS
NC_005061,Candidatus_Blochmannia_floridanus,<acpS-pdxJ-rnc> <era>
NC_002516,Pseudomonas_aeruginosa_PAO1,rnc-era-recO-pdxJ
NC_002947,Pseudomonas_putida_KT2440,rnc-era-recO-pdxJ
NC_004578,Pseudomonas_syringae_pv._tomato_str._DC3000,<pdxJ-recO-era-rnc>
NC_003919,Xanthomonas_axonopodis_pv._citri_str._306,rnc-era-recO <pdxJ>
NC_007086,Xanthomonas_campestris_pv._campestris_str._8004,<recO-era-rnc> <pdxJ>
NC_002488,Xylella_fastidiosa_9a5c,rnc-era-recO pdxJ
NC_004757,Nitrosomonas_europaea_ATCC_19718,<acpS-pdxJ-era-rnc>
NC_005085,Chromobacterium_violaceum_ATCC_12472,rnc-era-recO-pdxJ acpS
NC_003295,Ralstonia_solanacearum_GMI1000,rnc-era-recO-pdxJ-acpS
NC_003112,Neisseria_meningitidis_MC58,recO-pdxJ rnc-era acpS
NC_002927,Bordetella_bronchiseptica_RB50,<acpS-pdxJ> <recO-era-rnc>
NC_002929,Bordetella_pertussis_Tohama_I,pdxJ-acpS <recO-era-rnc>
NC_002928,Bordetella_parapertussis_12822,pdxJ-acpS <recO-era-rnc>
NC_004463,Bradyrhizobium_japonicum_USDA_110,<era-rnc> <acpS-pdxJ> <recO>
NC_002696,Caulobacter_crescentus_CB15,pdxJ-acpS rnc era recO
NC_003062,Agrobacterium_tumefaciens_str._C58,rnc-era <pdxJ> acpS
NC_002678,Mesorhizobium_loti_MAFF303099,rnc-era <pdxJ> recO acpS
NC_003047,Sinorhizobium_meliloti_1021,rnc-era <pdxJ> recO acpS
NC_012441,Brucella_melitensis_ATCC_23457,rnc-era-recO <pdxJ> acpS
NC_004310,Brucella_suis_1330,rnc-era-recO <pdxJ> acpS
